	T6	T7
D577	T2	0.55270988
D578	T3	0.32846394
D579	T4	0.27957395
D580	T5	0.36871991
D581	T3	0.33180624
D582	T2	0.48103401
D583	T2	0.64317799
D584	T2	0.66352713
D585	T2	0.71444547
D586	T2	0.48944563
D587	T2	0.53540307
D588	T3	0.66802526
D589	T3	0.38668025
D590	T3	0.51463521
D591	T3	0.42957866
D592	T3	0.46002421
D593	T7	0.41849336
D594	T0	0.36934251
D595	T0	0.33700329
D596	T0	0.38836491
D597	T0	0.65460587
D598	T1	0.62978107
D599	T2	0.47532976
D600	T4	0.34368962
D601	T1	0.67235118
D602	T6	0.43706241
D603	T2	0.53640676
D604	T5	0.66402543
D605	T5	0.59478992
D606	T7	0.36781672
D607	T2	0.42614296
D608	T3	0.39785856
D609	T3	0.58647060
D610	T2	0.83758533
D611	T2	0.80081409
D612	T2	0.69503587
D613	T2	0.69203782
D614	T2	0.84078205
D615	T2	0.66318756
D616	T3	0.46287933
D617	T1	0.61118889
D618	T7	0.35520738
D619	T5	0.60222852
D620	T5	0.69610661
D621	T3	0.46378779
D622	T5	0.58803582
D623	T3	0.48846000
D624	T5	0.69982702
D625	T5	0.31868729
D626	T5	0.67799860
D627	T3	0.37492141
D628	T5	0.59029484
D629	T5	0.59263706
D630	T4	0.44329712
D631	T3	0.39778855
D632	T5	0.53055602
D633	T5	0.39112195
D634	T5	0.49605098
D635	T5	0.47780237
D636	T3	0.37130666
D637	T3	0.47329569
D638	T6	0.41236490
D639	T0	0.47369304
D640	T5	0.38569754
D641	T1	0.30385235
D642	T1	0.55168605
D643	T5	0.57517636
D644	T7	0.45180130
D645	T4	0.54876000
D646	T5	0.32623118
D647	T5	0.76353532
D648	T2	0.31359246
D649	T5	0.69058919
D650	T5	0.63686091
D651	T3	0.50527889
D652	T2	0.63164288
D653	T4	0.37300897
D654	T7	0.35645747
D655	T0	0.49188998
D656	T0	0.52866101
D657	T0	0.38632262
D658	T5	0.47824869
D659	T5	0.59626931
D660	T0	0.39784646
D661	T0	0.41279727
D662	T4	0.27606672
D663	T5	0.62611270
D664	T1	0.51237714
D665	T5	0.59487838
D666	T5	0.35131755
D667	T4	0.75695729
D668	T4	0.76340032
D669	T4	0.54985487
D670	T4	0.62955928
D671	T0	0.44970575
D672	T4	0.36004320
D673	T2	0.46200180
D674	T2	0.47651368
D675	T7	0.77051353
D676	T7	0.73188162
D677	T4	0.65742695
D678	T6	0.44318286
D679	T1	0.61676276
D680	T3	0.67409295
D681	T5	0.71476513
D682	T5	0.75674230
D683	T5	0.78276199
D684	T3	0.46706060
D685	T5	0.88100225
D686	T5	0.67621666
D687	T1	0.46916834
D688	T3	0.61492187
D689	T3	0.61651278
D690	T3	0.39899227
D691	T5	0.58557564
D692	T3	0.78773147
D693	T5	0.81133533
D694	T5	0.86709428
D695	T5	0.77213192
D696	T5	0.64915097
D697	T5	0.78747779
D698	T5	0.75938648
D699	T4	0.48229235
D700	T5	0.51312506
D701	T5	0.56661171
D702	T2	0.63671851
D703	T5	0.52933156
D704	T3	0.28690362
D705	T3	0.43904278
D706	T3	0.28547966
D707	T1	0.57442856
D708	T7	0.64540976
D709	T7	0.62797648
D710	T6	0.73899496
D711	T6	0.74014640
D712	T5	0.65737712
D713	T5	0.52678961
D714	T5	0.55749160
D715	T0	0.48365662
D716	T0	0.35565212
D717	T2	0.37797537
D718	T0	0.47572580
D719	T3	0.71339750
D720	T7	0.44821727
D721	T5	0.47635522
D722	T3	0.49851808
D723	T3	0.37127769
D724	T4	0.57762861
D725	T1	0.50938004
D726	T5	0.46422863
D727	T0	0.38914937
D728	T5	0.53829098
D729	T7	0.47522476
D730	T3	0.36870393
D731	T3	0.57712066
D732	T3	0.44526035
D733	T2	0.65355796
D734	T4	0.47169390
D735	T4	0.39057052
D736	T2	0.79211986
D737	T3	0.44281551
D738	T5	0.59446287
D739	T1	0.36844650
D740	T0	0.48245960
D741	T0	0.40614784
D742	T7	0.45332974
D743	T5	0.48836431
D744	T3	0.64050418
D745	T0	0.31694847
D746	T3	0.39581221
D747	T3	0.48447713
D748	T0	0.42809966
D749	T3	0.45217413
D750	T3	0.47124973
D751	T0	0.41524416
D752	T3	0.26038098
D753	T4	0.38378382
D754	T2	0.59434730
D755	T3	0.46681362
D756	T3	0.36052883
D757	T7	0.30261338
D758	T3	0.59294879
D759	T3	0.76261979
D760	T1	0.47537458
D761	T1	0.55312198
D762	T3	0.55196202
D763	T1	0.50468361
D764	T1	0.39978287
D765	T1	0.45605269
D766	T3	0.29319826
D767	T1	0.59176058
D768	T7	0.36064780
D769	T7	0.50683397
D770	T1	0.39275038
D771	T7	0.48083967
D772	T6	0.47992679
D773	T1	0.48155269
D774	T1	0.42873368
D775	T1	0.72127628
D776	T3	0.51362008
D777	T7	0.29824397
D778	T1	0.58189380
D779	T7	0.29193190
D780	T4	0.22914083
D781	T3	0.74162143
D782	T6	0.36196837
D783	T7	0.71180093
D784	T7	0.46600384
D785	T3	0.35871002
D786	T2	0.35256630
D787	T0	0.35556883
D788	T6	0.52012312
D789	T7	0.37650114
D790	T7	0.44887942
D791	T3	0.55138898
D792	T3	0.64450300
D793	T7	0.71168083
D794	T7	0.42238772
D795	T0	0.41017649
D796	T2	0.54064524
D797	T2	0.63670629
D798	T7	0.47365919
D799	T2	0.53466785
D800	T1	0.58828574
D801	T4	0.50340104
D802	T1	0.52969742
D803	T1	0.62370688
D804	T1	0.60275304
D805	T6	0.59302920
D806	T5	0.50369900
D807	T6	0.51689011
D808	T3	0.71845472
D809	T3	0.55330455
D810	T5	0.42348838
D811	T3	0.68603510
D812	T1	0.60262555
D813	T5	0.30255526
D814	T0	0.66854477
D815	T5	0.77520412
D816	T5	0.58834130
D817	T5	0.55197877
D818	T3	0.40879434
D819	T5	0.47275016
D820	T3	0.66219985
D821	T3	0.38104248
D822	T3	0.65464222
D823	T5	0.70661926
D824	T5	0.68154556
D825	T5	0.73760909
D826	T5	0.89338923
D827	T5	0.64812803
D828	T5	0.40644079
D829	T3	0.44104418
D830	T5	0.58918315
D831	T5	0.74679977
D832	T5	0.80673224
D833	T3	0.50385022
D834	T4	0.48097813
D835	T5	0.46940991
D836	T5	0.46086574
D837	T5	0.69187212
D838	T5	0.45265636
D839	T5	0.52355820
D840	T4	0.50033790
D841	T5	0.48063478
D842	T5	0.49919757
D843	T5	0.58130658
D844	T5	0.48331001
D845	T5	0.68889350
D846	T4	0.41421041
D847	T5	0.36264053
D848	T4	0.77934307
D849	T5	0.34185800
D850	T7	0.47210658
D851	T4	0.49023703
D852	T4	0.43001312
D853	T0	0.44950294
D854	T0	0.33869830
D855	T3	0.54711127
D856	T3	0.63639659
D857	T0	0.34640852
D858	T6	0.48438978
