	T0	T1	T2	T3	T4	T5	T6	T7
D138	0.07603856	0.00473236	0.00057391	0.64133853	0.00527054	0.18138441	0.01292213	0.07773954
D139	0.29121205	0.00059302	0.00042751	0.53344649	0.02151885	0.07060714	0.00082935	0.08136559
D140	0.00264476	0.09331419	0.31775269	0.14936633	0.02781349	0.00067035	0.04400588	0.36443231
D141	0.00130632	0.00083213	0.03762950	0.76499575	0.10014032	0.00033111	0.00939256	0.08537231
D142	0.05688944	0.00182126	0.00131295	0.17948192	0.03907271	0.04574997	0.00254707	0.67312467
D143	0.11566620	0.03889012	0.00050617	0.20458774	0.01853497	0.00027938	0.00098195	0.62055349
D144	0.12728897	0.00148659	0.10397601	0.14650074	0.00984187	0.00059152	0.01677965	0.59353471
D145	0.07780542	0.00215047	0.00155028	0.19065903	0.09929933	0.00085567	0.01364026	0.61403954
D146	0.10110714	0.00066538	0.03740326	0.00278483	0.00082239	0.00087127	0.05830682	0.79803890
D147	0.00048229	0.00033971	0.01179065	0.05255905	0.04790448	0.12098269	0.53748828	0.22845282
D148	0.31958196	0.00033724	0.00082663	0.20447710	0.00041682	0.04758183	0.03680460	0.38997373
D149	0.00119196	0.06403194	0.03816784	0.18406351	0.07325754	0.00109937	0.00135152	0.63683635
D150	0.00053075	0.00037384	0.00091634	0.61658347	0.00850152	0.02460791	0.00060180	0.34788436
D151	0.00103337	0.00072787	0.12700631	0.10478941	0.00089962	0.00095310	0.00899809	0.75559223
D152	0.02766398	0.01948557	0.04776191	0.29107067	0.02408344	0.02551512	0.24088469	0.32353461
D153	0.00060910	0.34180015	0.12099282	0.13557620	0.00053027	0.00056179	0.17598933	0.22394033
D154	0.00071459	0.03297563	0.05535424	0.15364401	0.00603415	0.00065908	0.02787050	0.72274780
D155	0.00224656	0.00158240	0.90565532	0.02363749	0.00195579	0.00207205	0.00254730	0.06030316
D156	0.08649337	0.00194676	0.88393182	0.00814779	0.00240612	0.00254915	0.00313383	0.01139118
D157	0.74935371	0.00030415	0.00074553	0.14517063	0.00364632	0.04291349	0.04300483	0.01486132
D158	0.36277571	0.02185651	0.00081773	0.29554254	0.04704527	0.11522562	0.01129849	0.14543806
D159	0.00203846	0.00143582	0.65193903	0.12951785	0.03265174	0.00188011	0.11038128	0.07015575
D160	0.00056813	0.93313992	0.00090291	0.00166009	0.00122184	0.00034190	0.04014946	0.02201574
D161	0.05356441	0.14850192	0.12351409	0.00577097	0.00424748	0.00118854	0.12237477	0.54083782
D162	0.00061367	0.88503498	0.00097528	0.01247968	0.00131977	0.00036930	0.03802413	0.06118314
D163	0.00286039	0.14035861	0.77662235	0.00835811	0.00615164	0.05153275	0.00289583	0.01122038
D164	0.07503226	0.74558032	0.00168768	0.02159555	0.01153010	0.00063906	0.00107508	0.14285997
D165	0.00136479	0.82750314	0.00216901	0.02775460	0.03858516	0.03647133	0.04891504	0.01723695
D166	0.00072620	0.83866185	0.00747717	0.05270637	0.00156178	0.00043702	0.00073519	0.09769441
D167	0.00071713	0.84067672	0.00113970	0.03955999	0.00778636	0.00043156	0.00072601	0.10896257
D168	0.00632726	0.86139613	0.01005567	0.01848833	0.01360756	0.00380771	0.00640564	0.07991171
D169	0.00067104	0.88597316	0.00106645	0.01948911	0.08908482	0.00040383	0.00067935	0.00263226
D170	0.00066714	0.92148852	0.00686910	0.00194939	0.06533198	0.00040148	0.00067540	0.00261697
D171	0.01025871	0.78406233	0.00088539	0.07924072	0.02545215	0.00033527	0.03451963	0.06524578
D172	0.00128825	0.68014145	0.18151721	0.00376427	0.09250546	0.00077526	0.00130420	0.03870396
D173	0.00124631	0.66885102	0.16475619	0.00364172	0.10034561	0.00075002	0.00126175	0.05914734
D174	0.00272467	0.44211048	0.28901783	0.10285740	0.00585975	0.00163969	0.02648239	0.12930784
D175	0.00080229	0.73094332	0.00127505	0.05124356	0.03665347	0.00048281	0.00081223	0.17778732
D176	0.00108194	0.76904827	0.01113998	0.09736644	0.00232684	0.02891261	0.00109534	0.08902858
D177	0.00197500	0.75037843	0.05472820	0.02296744	0.00424748	0.00118854	0.00199946	0.16251551
D178	0.11179645	0.00208291	0.00059815	0.58769369	0.04013416	0.09853833	0.05609107	0.10306526
D179	0.00049259	0.69755340	0.04796249	0.10008768	0.00105939	0.00029644	0.03481115	0.11773682
D180	0.00075983	0.62609786	0.24599513	0.02868375	0.00824999	0.00045726	0.06031216	0.02944407
D181	0.00082535	0.19860087	0.34625953	0.20363127	0.00896144	0.00049669	0.00083558	0.24038923
D182	0.00091768	0.70023632	0.00145843	0.00268147	0.00996390	0.00055225	0.00092905	0.28326088
D183	0.01340745	0.88555992	0.00219509	0.07619337	0.00297045	0.00083120	0.01342456	0.00541800
D184	0.00146957	0.23845497	0.01513120	0.20902474	0.38703045	0.00088438	0.14224009	0.00576464
D185	0.00098879	0.66839969	0.00157144	0.00288925	0.01934541	0.00059505	0.00100104	0.30520937
D186	0.05453418	0.26844570	0.00082162	0.29860520	0.05062760	0.01831685	0.00052339	0.30812541
D187	0.04039052	0.23636252	0.00103618	0.27439788	0.14332549	0.00039236	0.00066007	0.30343497
D188	0.84093130	0.00138430	0.02435477	0.12051708	0.00053794	0.00015053	0.01114289	0.00098119
D189	0.00157002	0.39145634	0.00249517	0.25065240	0.11273864	0.00094483	0.00158947	0.23855317
D190	0.00632726	0.03501668	0.89152712	0.01848832	0.01360756	0.00380771	0.00640564	0.02481974
D191	0.07866112	0.01371629	0.00094990	0.59502846	0.12618691	0.05760620	0.01621779	0.11163336
D192	0.87148100	0.00291359	0.00542066	0.11613762	0.00113223	0.00031682	0.00053299	0.00206515
D193	0.01094917	0.00329070	0.81895590	0.03280116	0.00127877	0.02106697	0.00060197	0.11105540
D194	0.00238516	0.07550350	0.81373483	0.02773727	0.00512959	0.00143538	0.00241471	0.07165960
D195	0.00782838	0.03936904	0.57072622	0.13079919	0.02312406	0.00025584	0.00043039	0.22746690
D196	0.06332232	0.03617285	0.00142429	0.42399505	0.09556657	0.00053933	0.00090730	0.37807226
D197	0.53857285	0.00212469	0.04072360	0.18163237	0.04762470	0.03700171	0.09398674	0.05833337
D198	0.66210443	0.01219332	0.00547082	0.03393727	0.11217596	0.00031975	0.04217539	0.13162304
D199	0.65679288	0.03795947	0.00587878	0.09612453	0.02608481	0.09479978	0.00057803	0.08178172
D200	0.59254241	0.01526593	0.02596047	0.05179724	0.00943516	0.20184261	0.00888624	0.09426989
D201	0.01685368	0.04356150	0.09495142	0.37818980	0.00101166	0.00437890	0.00047623	0.46057689
D202	0.00518471	0.02869354	0.59510845	0.01514980	0.05629411	0.00312013	0.00524894	0.29120034
D203	0.29708710	0.00348943	0.02296180	0.64416498	0.00684594	0.00586938	0.00063832	0.01894311
D204	0.00431859	0.02570431	0.00070705	0.21435320	0.00095679	0.00026773	0.07405061	0.67964178
D205	0.62335765	0.00217560	0.00062476	0.19625297	0.05218867	0.06527133	0.00039798	0.05973105
D206	0.00092507	0.74614990	0.06590760	0.08324984	0.05031755	0.00055670	0.00093653	0.05195681
D207	0.00037392	0.57182086	0.00384997	0.25503895	0.02684993	0.00022502	0.00037855	0.14146283
D208	0.00043152	0.33678418	0.04953016	0.20039563	0.08734500	0.00025968	0.00043686	0.32481700
D209	0.00081946	0.83934629	0.00130234	0.00239448	0.07311374	0.00049315	0.00082962	0.08170100
D210	0.01373788	0.83344895	0.01457183	0.00413536	0.08930212	0.00085168	0.00143277	0.04251944
D211	0.00045548	0.68068451	0.07607540	0.03702374	0.01684304	0.00027410	0.01632460	0.17231910
D212	0.00045912	0.75008792	0.04070544	0.07729553	0.05295590	0.00027629	0.02045269	0.05776706
D213	0.03173939	0.37005931	0.00113263	0.08275190	0.25595173	0.00042889	0.00692685	0.25100929
D214	0.00150817	0.73059136	0.02866032	0.00440688	0.02950695	0.00090761	0.04092202	0.16349672
D215	0.10591320	0.70085162	0.02091682	0.05478482	0.05420254	0.00045425	0.01390898	0.04896775
D216	0.00212089	0.60267252	0.00337064	0.00619725	0.11536154	0.00127634	0.00214716	0.26685360
D217	0.00111340	0.72355348	0.00176949	0.00325337	0.07025588	0.07822590	0.00112719	0.12070129
D218	0.00073082	0.61492014	0.00116146	0.06576833	0.04611473	0.04498281	0.01346645	0.21285525
D219	0.00050561	0.74679506	0.00080354	0.07191496	0.09353670	0.00030427	0.00051187	0.08562794
D220	0.01135846	0.56683415	0.00185963	0.11549079	0.12477650	0.00070417	0.02156129	0.15741502
D221	0.00248852	0.46879560	0.00395492	0.09394263	0.22202972	0.00149758	0.00251935	0.20477171
D222	0.00138120	0.45261505	0.02624759	0.04011463	0.30362660	0.00083120	0.00139831	0.17378545
D223	0.00376446	0.00889951	0.01412293	0.28477180	0.05148378	0.00361003	0.58455318	0.04879434
D224	0.00077002	0.76858515	0.12190644	0.08270512	0.00836061	0.00046339	0.00077955	0.01642971
D225	0.00047234	0.60306281	0.01720132	0.03839413	0.12850836	0.00028425	0.04983014	0.16224666
D226	0.00036558	0.00520642	0.02604643	0.57085705	0.03898437	0.00022001	0.06721684	0.29110324
D227	0.00599688	0.50312620	0.00953061	0.01752295	0.37840429	0.05582421	0.00607117	0.02352377
D228	0.00393973	0.02180350	0.14347562	0.11442272	0.00847289	0.00237091	0.24411367	0.46140093
D229	0.00083133	0.59091377	0.00132120	0.09652876	0.00178787	0.09459990	0.00084163	0.21317554
D230	0.39812791	0.00179712	0.01200750	0.26783675	0.11077937	0.04780376	0.02289516	0.13875246
D231	0.03173223	0.57005030	0.00423520	0.00667123	0.26536679	0.00161089	0.04733965	0.07299371
D232	0.00445670	0.24021445	0.07560297	0.17933473	0.01699753	0.00630799	0.04313917	0.43394646
D233	0.01388971	0.33023891	0.16566369	0.07489804	0.05081767	0.00129349	0.16550449	0.19769403
D234	0.00402599	0.59847999	0.00595404	0.00937872	0.10926473	0.00226466	0.20859861	0.06203330
D235	0.02251673	0.00542327	0.02649456	0.69551867	0.04135624	0.10938548	0.01191398	0.08739105
D236	0.00067649	0.63247782	0.02145874	0.16865189	0.03199858	0.04129710	0.00095362	0.10248571
