	T0	T1	T2	T3	T4	T5	T6	T7
D820	0.12427896	0.00049038	0.00023415	0.66219985	0.01895587	0.17617328	0.01629304	0.00137448
D821	0.00749187	0.00296353	0.00141503	0.38104248	0.17921320	0.35343283	0.00147721	0.07296389
D822	0.12928058	0.00028742	0.01895002	0.65464222	0.00483947	0.06563296	0.00327873	0.12308865
D823	0.00926593	0.00068959	0.00032927	0.05857489	0.17710878	0.70661926	0.00034373	0.04706861
D824	0.00094614	0.00853979	0.00017870	0.28492165	0.01854988	0.68154556	0.00018655	0.00513177
D825	0.05046536	0.00050111	0.00023927	0.15736152	0.00297084	0.73760909	0.00024978	0.05060309
D826	0.00885337	0.00015513	0.00007407	0.02502231	0.06522485	0.89338923	0.00007732	0.00720376
D827	0.00091621	0.00036242	0.01598756	0.03869215	0.27890265	0.64812803	0.00018065	0.01683034
D828	0.00196503	0.02621564	0.00037114	0.28649077	0.27595055	0.40644079	0.00038745	0.00217867
D829	0.00429688	0.00169970	0.00081157	0.44104418	0.21403646	0.31395820	0.00084724	0.02330583
D830	0.00244111	0.00096562	0.00046107	0.08202158	0.31120586	0.58918315	0.00048133	0.01324034
D831	0.00470899	0.00863345	0.00009235	0.01009953	0.22269738	0.74679977	0.00009641	0.00687215
D832	0.00055985	0.00263731	0.00252160	0.02122688	0.16559103	0.80673224	0.00011039	0.00062072
D833	0.00067576	0.02359553	0.00887572	0.50385022	0.07740148	0.32348219	0.00013324	0.06198582
D834	0.00128793	0.00050946	0.00024326	0.18777344	0.48097813	0.32752591	0.00025395	0.00142795
D835	0.00100786	0.00039868	0.00019036	0.10779912	0.37638685	0.46940991	0.02194426	0.02286298
D836	0.05852823	0.00023094	0.01774552	0.39247629	0.00892712	0.46086574	0.00011512	0.06111103
D837	0.05908815	0.00040936	0.00019546	0.06156546	0.17658675	0.69187212	0.00020405	0.01007865
D838	0.00109346	0.00515103	0.00020653	0.07448839	0.43666539	0.45265636	0.00021560	0.02952328
D839	0.00073120	0.00028924	0.00013811	0.37795618	0.00171476	0.52355820	0.00014417	0.09546816
D840	0.00974848	0.00040042	0.00019119	0.13884674	0.50033790	0.33168098	0.00019959	0.01859474
D841	0.03551595	0.00035266	0.00016839	0.09151036	0.39065364	0.48063478	0.00017579	0.00098847
D842	0.05322256	0.00218612	0.00104383	0.23338832	0.20374456	0.49919757	0.00108969	0.00612739
D843	0.00421866	0.00166876	0.00079680	0.03252172	0.37397835	0.58130658	0.00083181	0.00467731
D844	0.00374184	0.00148014	0.00070674	0.12572600	0.28326875	0.48331001	0.00073780	0.10102876
D845	0.01750142	0.02372333	0.00014642	0.11636916	0.14900856	0.68889350	0.00015286	0.00420475
D846	0.07999250	0.00024255	0.00011581	0.21905117	0.41421041	0.28029487	0.00012090	0.00597180
D847	0.00073120	0.00028924	0.00644860	0.21388325	0.33617115	0.36264053	0.00014417	0.07969192
D848	0.00239074	0.00094570	0.00045155	0.13191165	0.77934307	0.08183514	0.00047139	0.00265067
D849	0.20884788	0.00125690	0.00060015	0.28501108	0.15827657	0.34185800	0.00062652	0.00352293
D850	0.04227762	0.08879606	0.00011400	0.24427877	0.00662477	0.00503334	0.14076884	0.47210658
D851	0.00117675	0.00046548	0.01037804	0.42038062	0.49023703	0.00473494	0.00023203	0.07239514
D852	0.00116492	0.05575602	0.00022002	0.37593955	0.43001312	0.12030461	0.00022969	0.01637208
D853	0.44950294	0.00015834	0.00007560	0.16890836	0.19958028	0.12425023	0.00180624	0.05571798
D854	0.33869830	0.00030976	0.00014791	0.31691882	0.28230608	0.00990924	0.00353356	0.04817635
D855	0.07289097	0.00966658	0.00038758	0.54711127	0.15534507	0.16764447	0.00040461	0.04654947
D856	0.14190593	0.00602904	0.04912709	0.63639659	0.13703962	0.02574700	0.00013171	0.00362300
D857	0.34640852	0.00095556	0.00045626	0.21667893	0.04736117	0.33286482	0.05259644	0.00267830
D858	0.04573482	0.00340368	0.33579740	0.06633282	0.02017888	0.03462257	0.48438978	0.00954006
